date,name-dataset,image,Precision,Recall,mAP@50,mAP@50-95
,  yolo11s_1280_new-ODBv52,1472,0.783,0.866,0.828,0.613
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,  yolo11s_1280_new-ODBv53,1323,0.787,0.758,0.83,0.592
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,  yolo11s_1280_new-ODBv54,1569,0.803,0.869,0.888,0.617
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,  yolo11s_1280_new-ODBv55,1346,0.821,0.871,0.881,0.633
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,  yolo11s_1280_new-ODBv58,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,  yolo11s_1280_new-ODBv59,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,  yolo11s_1280_new-ODBv60,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,  yolo11s_1280_new-ODBv61,1811,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,  yolo11s_1280_new-ODBv62,1975,0.889,0.904,0.913,0.631
